case,WT_dice,WT_hd95,TC_dice,TC_hd95,ET_dice,ET_hd95,Avg_dice,Avg_hd95
BraTS-GLI-00364-000,0.9860411685345231,1.0,0.9832771666560692,1.0,0.9634979584299402,1.0,0.9776054312068442,1.0
BraTS-GLI-01126-000,0.9848416493729135,1.0,0.9811557374344081,1.0,0.9650881711908064,1.0,0.9770285193327094,1.0
BraTS-GLI-01393-000,0.9859350896827077,1.0,0.9815279770444764,1.0,0.9633490662836035,1.0,0.9769373776702626,1.0
BraTS-GLI-01343-000,0.9865457968604822,1.0,0.9825022195915951,1.0,0.959670529,1.0,0.9762395150594271,1.0
BraTS-GLI-00620-000,0.9793661902368684,1.0,0.9778308414511708,1.0,0.968925541,1.0,0.975374191,1.0
BraTS-GLI-01346-000,0.9867058558933264,1.0,0.9877276507086528,1.0,0.9513357796906615,1.0,0.9752564287642135,1.0
BraTS-GLI-00649-001,0.9834779034804992,1.0,0.9885511319551011,1.0,0.9514558839687947,1.0,0.9744949731347984,1.0
BraTS-GLI-01312-000,0.982825856,1.0,0.9783202258990455,1.0,0.9585661212104024,1.0,0.973237401,1.0
BraTS-GLI-01358-000,0.979669887,1.0,0.9830153799448121,1.0,0.954793111,1.0,0.9724927924787478,1.0
BraTS-GLI-00032-001,0.9850443078314863,1.0,0.967593616,1.0,0.9617155818269297,1.0,0.9714511685483253,1.0
BraTS-GLI-00548-001,0.978005394,1.0,0.9780063028694642,1.0,0.957004291,1.0,0.9710053293187554,1.0
BraTS-GLI-00081-000,0.9670669285001449,1.0,0.9758842152872004,1.0,0.9692090814660929,1.0,0.9707200750844794,1.0
BraTS-GLI-01121-000,0.9796448301702654,1.0,0.9779575709111435,1.0,0.953538612,1.0,0.970380338,1.0
BraTS-GLI-01096-000,0.963759676,1.4142135623730951,0.9801131043781132,1.0,0.9650985017254182,1.0,0.9696570939303099,1.1380711874576983
BraTS-GLI-00616-000,0.982704208,1.0,0.9840801813744317,1.0,0.9410810372333234,1.0,0.969288475,1.0
BraTS-GLI-01321-000,0.9833687023500747,1.0,0.9812422021001451,1.0,0.9422908986674311,1.4142135623730951,0.9689672677058837,1.1380711874576983
BraTS-GLI-01304-000,0.9801102072946734,1.0,0.9789473684210527,1.0,0.9454931071049841,1.0,0.9681835609402367,1.0
BraTS-GLI-00734-001,0.9809867175428543,1.0,0.974034621,1.0,0.9495121524185461,1.0,0.9681778301557974,1.0
BraTS-GLI-00714-001,0.9826142676083546,1.0,0.9782751318800305,1.0,0.942527296,1.0,0.9678055649986043,1.0
BraTS-GLI-00369-000,0.9843006209589655,1.0,0.972279415,1.7320508075688772,0.9466863033873343,1.0,0.9677554466011795,1.2440169358562925
