file,lines,imports
1_preprocessing_aiib2023.py,43,1
1_preprocessing_brats2025.py,207,7
1_rename_mri_data_brats2023.py,28,1
1b_preprocessing_brats2025.py,110,5
2_preprocessing_brats2023.py,49,4
2_train_diffunet_aiib2023.py,149,13
2_train_diffunet_brats2025.py,175,10
3_predict_aiib2023.py,118,11
3_train_diffunet_brats2023.py,170,13
3_train_diffunet_brats2025.py,195,11
4_compute_metrics_aiib2023.py,67,11
4_predict_brats2023.py,144,11
4_predict_brats2025.py,154,10
4b_predict_brats2025_val.py,153,9
5_compute_metrics_brats2023.py,83,11
5_compute_metrics_brats2025.py,78,7
check_labels.py,15,3
debug_model_return.py,40,2
diffunet\block_denoise.py,198,10
diffunet\decoder.py,229,8
diffunet\decoder_denoise.py,286,8
diffunet\diffunet_model.py,36,3
diffunet\encoder_denoise.py,174,11
diffunet\nnunet3d.py,239,11
diffunet\nnunet3d_denoise.py,490,13
generate_project_visualizations.py,338,8
light_training\augment\multi_processor.py,10,1
light_training\augment\train_augment.py,279,19
light_training\dataloading\__init__.py,0,0
light_training\dataloading\base_data_loader.py,185,3
light_training\dataloading\dataset.py,266,14
light_training\dataloading\dataset_sdm_edge.py,305,20
light_training\dataloading\utils.py,25,4
light_training\evaluation\metric.py,406,2
light_training\examples\preprocess_mri.py,94,4
light_training\examples\read_pickle.py,8,1
light_training\launch.py,117,9
light_training\loss\__init__.py,0,0
light_training\loss\compound_losses.py,151,5
light_training\loss\ddp_allgather.py,49,3
light_training\loss\deep_supervision.py,35,1
light_training\loss\deepsupervision.py,65,3
light_training\loss\dice.py,192,6
light_training\loss\helpers.py,27,2
light_training\loss\robust_ce_loss.py,33,3
light_training\loss\tensor_utilities.py,15,3
light_training\prediction.py,180,7
light_training\prediction_fp32.py,142,7
light_training\preprocessing\__init__.py,0,0
light_training\preprocessing\cropping\__init__.py,0,0
light_training\preprocessing\cropping\cropping.py,51,3
light_training\preprocessing\normalization\__init__.py,0,0
light_training\preprocessing\normalization\default_normalization_schemes.py,126,5
light_training\preprocessing\normalization\map_channel_name_to_normalization.py,24,2
light_training\preprocessing\preprocessors\__init__.py,0,0
light_training\preprocessing\preprocessors\default_preprocessor.py,526,15
light_training\preprocessing\preprocessors\preprocessor_mri.py,134,16
light_training\preprocessing\preprocessors\preprocessor_multiinput_and_region.py,209,16
light_training\preprocessing\preprocessors\preprocessor_multiinput_and_region_01norm_first.py,239,16
light_training\preprocessing\preprocessors\preprocessor_multiinput_mrinorm_noresample_nocrop.py,167,16
light_training\preprocessing\resampling\__init__.py,0,0
light_training\preprocessing\resampling\default_resampling.py,217,8
light_training\process_framework\norm.py,16,1
light_training\process_framework\process.py,235,10
light_training\sampler.py,48,3
light_training\trainer.py,514,19
light_training\trainer_fp32.py,471,17
light_training\utilities\__init__.py,0,0
light_training\utilities\collate_outputs.py,24,2
light_training\utilities\dataset_name_id_conversion.py,74,4
light_training\utilities\ddp_allgather.py,49,3
light_training\utilities\default_n_proc_DA.py,44,2
light_training\utilities\file_path_utilities.py,123,7
light_training\utilities\find_class_by_name.py,24,3
light_training\utilities\get_network_from_plans.py,77,6
light_training\utilities\helpers.py,27,2
light_training\utilities\json_export.py,59,3
light_training\utilities\label_handling\__init__.py,0,0
light_training\utilities\label_handling\label_handling.py,319,12
light_training\utilities\network_initialization.py,12,1
light_training\utilities\overlay_plots.py,274,15
light_training\utilities\plans_handling\__init__.py,0,0
light_training\utilities\plans_handling\plans_handler.py,307,21
light_training\utilities\tensor_utilities.py,15,3
light_training\utilities\utils.py,56,4
light_training\utils\files_helper.py,22,3
light_training\utils\log_image.py,20,2
light_training\utils\lr_scheduler.py,222,8
test_list_aiib23.py,1,0
test_list_brats2023.py,20,0
test_list_brats2025.py,5,0
